PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
A83038,5829,16999,6,987,36385,1,37283,47,0.10,5,0.58,25,16999,6,390,19623,3,55032,47,18,0.39,44,0.95
A83040,11868,9914,4,710,87065,2,172483,42,0.26,11,0.69,29,9914,4,340,65434,4,242402,42,22,0.55,40,0.96
A83041,7674,9613,4,2484,276214,1,276417,46,0.01,0.30,0.01,0.61,9613,4,604,122563,1,129036,46,9,0.19,38,0.83
A83042,4979,7001,3,1282,20026,1,23335,38,0.04,1,0.23,8,7001,3,700,28387,2,51694,38,8,0.19,24,0.57
A83043,2695,15043,5,1368,6919,1,7365,47,0.12,7,0.43,25,15043,5,1316,6929,1,12081,47,11,0.20,26,0.44
A83044,6966,5392,2,687,38772,2,56719,36,0.25,10,0.73,26,5392,2,406,45374,3,123941,36,17,0.43,34,0.94
A83045,15023,7715,3,2844,35868,1,36009,52,0.00,0.10,0.01,0.43,7715,3,377,30600,2,65100,52,22,0.47,49,0.95
A83046,10381,17272,6,441,6909,1,14055,55,0.32,22,0.78,50,17272,6,275,14270,4,64580,55,35,0.57,53,0.84
A83047,14015,12854,4,951,62408,1,102039,40,0.16,7,0.50,20,12854,4,390,54783,3,157522,40,18,0.45,37,0.95
A83048,5518,23282,8,2135,50859,1,75765,57,0.08,5,0.33,20,23282,8,600,43512,2,119887,57,17,0.31,44,0.77
A83049,12732,14916,5,669,39061,2,62901,54,0.24,13,0.76,42,14916,5,316,26248,4,126483,54,30,0.55,51,0.94
A83050,11718,18980,6,681,166234,2,430116,36,0.22,8,0.74,27,18980,6,404,145674,3,440263,36,13,0.37,35,0.98
A83051,10208,11797,4,819,34129,2,51651,36,0.12,5,0.62,24,11797,4,348,49373,4,187748,36,17,0.49,36,0.98
A83052,8902,11791,4,536,237323,2,680537,50,0.32,19,0.90,47,11791,4,289,134759,4,699509,50,33,0.63,50,1.00
A83054,15506,16160,5,1234,304432,1,305535,46,0.09,4,0.50,22,16160,5,478,146292,2,271079,46,18,0.44,38,0.86
A83055,3868,23873,8,1793,7856,1,8673,36,0.01,0.51,0.11,5,23873,8,1082,8781,1,18777,36,5,0.17,13,0.35
A83057,5553,4378,2,654,40701,2,64799,39,0.32,15,0.77,31,4378,2,374,40342,4,126857,39,22,0.49,38,0.95
A83060,3047,13723,5,1481,46534,1,50211,40,0.25,10,0.48,19,13723,5,576,42212,1,55004,40,19,0.44,34,0.81
A83061,3300,18457,6,617,10004,0.89,10821,32,0.40,15,0.67,26,18457,6,443,8459,2,14958,32,18,0.44,29,0.72
A83066,8654,11396,4,779,54957,2,63351,40,0.19,9,0.66,26,11396,4,347,37942,4,117726,40,22,0.55,38,0.95
A83068,1650,5047,2,646,39590,2,62417,37,0.29,13,0.77,29,5047,2,386,39343,4,127120,37,19,0.48,35,0.94
A83070,5586,23647,8,3472,20177,1,24792,46,0.03,2,0.06,3,23647,8,712,19392,2,37115,46,17,0.37,31,0.67
A83071,5120,12439,4,873,35966,2,52704,36,0.11,5,0.57,22,12439,4,359,50579,4,184350,36,17,0.47,35,0.98
A83072,3879,21730,7,527,12109,1,12375,38,0.29,12,0.93,35,21730,7,305,18347,2,39028,38,22,0.55,37,0.99
A83073,4971,7760,3,1178,44246,1,44829,52,0.07,4,0.38,20,7760,3,380,17832,4,70836,52,21,0.40,51,0.98
A83074,11322,10489,4,601,16346,3,34739,38,0.27,12,0.79,31,10489,4,341,33149,5,110755,38,22,0.59,35,0.93
A83075,4697,11929,4,905,41775,2,58270,35,0.11,5,0.56,21,11929,4,353,54289,4,190086,35,17,0.50,35,0.98
A83076,2688,11393,4,1718,28037,1,28563,52,0.04,2,0.18,9,11393,4,455,16860,3,47601,52,18,0.33,48,0.91
A83603,2766,11636,4,652,245096,2,682690,51,0.31,18,0.84,46,11636,4,303,124539,4,697287,51,33,0.61,51,0.99
A83610,2771,6463,3,1593,16481,0.91,16864,43,0.01,0.46,0.06,2,6463,3,718,20685,1,29439,43,9,0.18,26,0.51
A83616,2304,5339,2,1297,48081,1,51877,45,0.11,5,0.39,17,5339,2,494,40846,2,72343,45,14,0.32,39,0.88
A83617,2719,14423,5,584,33695,1,38118,46,0.29,15,0.85,39,14423,5,311,21058,3,53909,46,28,0.59,45,0.98
A83618,4037,13281,5,872,91869,1,97216,53,0.16,10,0.56,32,13281,5,427,43852,2,92949,53,24,0.43,47,0.90
A83619,2761,5147,2,1669,116016,1,121216,41,0.06,2,0.30,11,5147,2,478,40370,2,83044,41,14,0.33,37,0.89
A83622,1693,10924,3,467,11632,1,14074,44,0.33,15,0.95,42,10924,3,214,21005,3,49778,44,32,0.73,44,1.00
A83626,1993,8529,3,2134,32899,1,35911,33,0.10,4,0.21,8,8529,3,404,38486,1,49137,33,16,0.46,31,0.96
A83627,4573,7000,2,1977,469801,1,493279,42,0.05,2,0.24,11,7000,2,442,56415,2,193140,42,19,0.43,37,0.86
A83630,2384,10453,4,1400,59466,1,65708,45,0.04,3,0.19,15,10453,4,375,26088,4,106025,45,24,0.53,42,0.91
A83632,2592,6416,3,1394,59962,1,71235,45,0.05,1,0.23,9,6416,3,355,24352,3,74874,45,21,0.44,45,0.95
A83634,2646,5269,2,619,15376,1.00,15376,86,0.24,22,0.85,75,5269,2,525,7142,1,8687,86,22,0.27,77,0.90
A83635,3727,15303,5,3461,28681,1.00,28680,32,0.00,0.00,0.00,0.12,15303,5,303,48472,1,51284,32,18,0.56,32,1.00
A83636,5712,10868,4,1427,60509,1,67019,49,0.09,5,0.31,18,10868,4,287,23616,4,90554,49,32,0.64,48,0.97
A83637,2001,10257,4,987,60100,1,191987,31,0.03,1,0.39,16,10257,4,416,59013,3,218644,31,8,0.24,30,0.85
A83638,1437,5020,2,536,114060,1,116549,49,0.34,17,0.88,43,5020,2,297,53214,5,177350,49,28,0.58,47,0.98
A83641,4730,7877,3,679,83867,2,159666,44,0.26,12,0.70,31,7877,3,344,63988,4,228795,44,23,0.53,42,0.96
A83644,3353,7645,3,1022,45859,1,47053,57,0.10,6,0.47,27,7645,3,383,20072,4,75568,57,23,0.40,55,0.98
A84002,5272,18323,6,3776,8826,0.99,8826,65,0.03,2,0.31,27,18323,6,1300,13973,1,16465,65,15,0.26,50,0.71
A84003,13232,9353,3,491,307131,3,728175,46,0.41,19,0.92,42,9353,3,339,215801,4,730466,46,24,0.52,44,0.96
A84005,10969,14328,5,695,178873,2,455982,37,0.31,13,0.69,28,14328,5,573,99841,4,503955,37,15,0.37,31,0.78
A84006,8809,20131,7,4220,17597,1,18343,59,0.07,5,0.35,24,20131,7,1114,22420,2,45661,59,21,0.40,46,0.79
A84007,10783,26124,8,1366,78828,1,87587,39,0.13,5,0.40,15,26124,8,829,50311,2,73639,39,9,0.23,22,0.56
A84008,4501,12048,4,8797,62162,0.85,62255,60,0.00,0.07,0.02,0.40,12048,4,1903,17337,0.92,18141,60,16,0.20,33,0.48
A84009,13968,9197,3,1067,59901,1,63111,50,0.08,5,0.43,24,9197,3,348,39663,5,135339,50,19,0.45,48,0.98
A84011,7127,24483,8,1082,86412,1,93480,36,0.19,6,0.49,16,24483,8,654,61430,2,84395,36,12,0.31,26,0.66
A84013,6266,9403,3,473,317616,2,655744,38,0.39,16,0.88,35,9403,3,357,137105,5,698326,38,22,0.56,36,0.94
A84014,10476,10277,4,1018,59841,1,63012,49,0.09,5,0.45,25,10277,4,340,41787,5,141282,49,20,0.47,48,0.98
A84015,2285,6442,3,419,231682,3,756119,45,0.44,20,0.94,43,6442,3,311,164149,4,772854,45,25,0.54,44,0.98
A84016,6635,20809,7,1277,42944,0.98,42943,48,0.03,2,0.26,12,20809,7,491,28746,2,61289,48,10,0.25,46,0.92
A84018,6827,22022,7,1306,104543,0.99,106519,54,0.08,6,0.42,28,22022,7,758,17463,2,69326,54,14,0.19,44,0.67
A84020,8501,12233,4,632,642603,2,764734,44,0.18,9,0.84,38,12233,4,398,119884,4,766425,44,21,0.46,41,0.93
A84021,9568,19771,6,2805,23621,1,24674,63,0.09,7,0.47,32,19771,6,661,22061,2,50468,63,23,0.37,55,0.86
A84022,11244,13311,4,1757,550061,1.00,550061,56,0.05,2,0.26,12,13311,4,546,85104,2,303534,56,19,0.36,45,0.81
A84024,8931,21291,7,1007,34040,2,51383,75,0.25,26,0.66,55,21291,7,628,23113,4,89852,75,39,0.42,67,0.82
A84025,5527,13522,5,1087,198314,1,206555,39,0.10,5,0.36,19,13522,5,309,53917,3,180883,39,22,0.58,37,0.97
A84026,9325,12917,5,881,40350,1,63906,40,0.19,14,0.50,27,12917,5,488,22562,3,76241,40,20,0.36,35,0.80
A84027,3256,15479,5,4977,18404,0.95,18431,50,0.06,4,0.47,30,15479,5,1311,14263,2,44733,50,18,0.28,33,0.52
A84028,19016,10210,4,488,327221,2,681459,46,0.34,16,0.94,43,10210,4,354,238409,4,695589,46,22,0.48,45,0.97
A84029,2819,15242,5,686,90871,1,91700,37,0.31,14,0.87,32,15242,5,469,11446,1,40842,37,15,0.34,33,0.90
A84030,9195,16280,5,1019,186502,1,192239,37,0.10,5,0.40,19,16280,5,292,54583,3,186817,37,22,0.59,37,0.99
A84031,9068,21167,7,937,97508,2,188108,57,0.24,16,0.65,38,21167,7,502,51694,3,184100,57,23,0.41,52,0.86
A84032,2435,11970,4,1792,8309,0.75,8308,42,0.00,0.00,0.05,0.74,11970,4,354,13760,2,30391,42,25,0.35,40,0.70
A84033,6070,20763,7,892,31092,2,48093,74,0.26,26,0.67,55,20763,7,537,22310,4,89702,74,41,0.44,67,0.82
A84034,5700,13591,5,1064,9262,0.87,9265,63,0.20,14,0.64,45,13591,5,958,11190,2,22555,63,24,0.33,49,0.70
A84035,5869,21696,7,1238,72711,1,91468,48,0.10,4,0.34,14,21696,7,414,55983,2,112240,48,19,0.37,45,0.88
A84036,17548,14156,5,1296,209805,2,282348,52,0.19,11,0.53,29,14156,5,500,63487,3,180044,52,23,0.42,46,0.84
A84037,5646,13603,5,1268,49512,1,58600,39,0.09,4,0.34,13,13603,5,579,14992,2,50701,39,14,0.35,29,0.75
A84038,5908,16787,6,1023,198970,1,205087,39,0.11,6,0.39,20,16787,6,298,57117,3,187897,39,22,0.58,38,0.99
A84039,5127,20697,7,1004,97950,2,181532,57,0.22,15,0.59,35,20697,7,545,47671,3,167526,57,22,0.39,51,0.81
A84040,3653,10588,3,1399,8580,0.67,11862,33,0.08,9,0.17,16,10588,3,433,7514,1,23151,33,15,0.14,24,0.29
A84042,1880,10983,4,990,34585,0.60,35974,30,0.08,3,0.34,18,10983,4,508,20436,1,38941,30,11,0.21,25,0.44
A84043,17039,18721,6,1258,224143,1,226571,36,0.06,3,0.28,12,18721,6,367,39908,3,115951,36,19,0.52,33,0.93
A84044,6837,12497,4,1227,49814,1,69355,39,0.13,10,0.42,23,12497,4,601,28893,2,71612,39,16,0.29,32,0.72
A84045,5497,13706,5,656,10624,0.75,11195,43,0.34,20,0.59,34,13706,5,573,14200,2,42128,43,29,0.48,35,0.61
A84047,5461,23198,7,1456,270561,0.90,271197,35,0.02,0.74,0.14,7,23198,7,489,20043,2,74601,35,11,0.34,30,0.74
A84048,8794,9639,3,981,60116,1,64126,50,0.09,5,0.46,26,9639,3,349,41430,5,136870,50,19,0.46,48,0.98
A84604,1945,12691,4,2099,6268,0.76,6273,46,0.00,0.03,0.04,0.70,12691,4,451,12964,2,31320,46,28,0.38,43,0.70
A84609,1623,25576,8,5995,145152,1,145871,77,0.06,3,0.13,7,25576,8,551,27373,1,37203,77,39,0.48,67,0.84
A84613,823,13730,5,8214,10275,1.00,10468,35,0.01,0.93,0.12,9,13730,5,3951,12586,1,16260,35,3,0.04,13,0.17
A84614,1966,18547,6,1429,41563,1,44463,51,0.03,2,0.18,9,18547,6,481,27340,2,66861,51,13,0.28,48,0.93
A84619,3671,15024,5,818,29041,1,37179,42,0.17,7,0.65,26,15024,5,465,23061,3,58366,42,18,0.44,35,0.85
A85001,7322,16637,6,553,70745,4,243408,36,0.46,18,0.89,31,16637,6,245,53533,7,316689,36,27,0.70,36,1.00
A85002,4543,9770,4,460,72269,6,290696,37,0.48,18,0.86,32,9770,4,239,49199,10,393648,37,26,0.73,37,1.00
A85003,6825,16174,5,970,859946,1,916344,43,0.08,3,0.49,20,16174,5,318,213811,3,510724,43,23,0.52,42,0.98
A85004,10839,8990,3,240,85132,6,420383,29,0.71,20,0.99,28,8990,3,207,71986,9,528919,29,22,0.77,29,1.00
A85005,15164,8444,3,329,67339,8,315759,36,0.64,22,0.95,34,8444,3,217,54746,11,401456,36,27,0.79,36,1.00
A85006,9232,12449,4,567,57382,2,222638,39,0.18,8,0.88,36,12449,4,291,44117,6,349928,39,22,0.56,39,1.00
A85007,8404,17119,6,346,74969,5,311616,35,0.49,18,0.98,34,17119,6,234,52057,9,408703,35,26,0.72,35,1.00
A85008,15901,12503,4,1138,22227,1,24285,42,0.07,5,0.41,21,12503,4,419,13541,4,51869,42,21,0.44,41,0.95
A85009,6679,7146,3,226,64330,8,438879,35,0.75,26,1.00,35,7146,3,187,57715,12,571348,35,29,0.84,35,1.00
A85010,11251,14778,5,471,185927,3,663697,48,0.35,20,0.90,42,14778,5,301,80805,6,778731,48,32,0.62,45,0.95
A85011,8256,6299,2,211,59295,8,410731,37,0.78,29,1.00,37,6299,2,175,53846,12,538801,37,31,0.85,37,1.00
A85012,3980,5286,2,257,51053,8,349027,38,0.68,25,0.99,38,5286,2,205,43384,12,456690,38,28,0.79,38,1.00
A85013,3373,7909,3,332,60736,7,303723,44,0.58,22,0.96,42,7909,3,239,48987,10,392171,44,27,0.72,44,1.00
A85014,7438,20101,7,681,24367,1,117763,50,0.30,13,0.74,31,20101,7,317,22603,4,218369,50,28,0.55,48,0.98
A85016,10265,8818,3,366,79195,4,323600,35,0.54,17,0.94,32,8818,3,245,53108,8,451686,35,23,0.71,34,0.99
A85017,6027,7935,3,257,35713,10,340062,36,0.74,25,0.99,35,7935,3,219,30292,12,401201,36,27,0.80,36,1.00
A85018,5246,13073,5,437,211908,3,667669,46,0.34,20,0.95,43,13073,5,265,75613,6,785211,46,34,0.66,45,0.98
A85019,10257,7464,3,296,57851,8,318164,38,0.64,23,0.97,37,7464,3,218,48628,11,411697,38,27,0.77,38,1.00
A85020,16359,20480,7,382,127227,4,702422,41,0.43,18,0.98,40,20480,7,292,80690,5,786330,41,23,0.57,41,1.00
A85021,2729,7253,3,299,45643,10,354191,33,0.74,23,0.95,31,7253,3,212,35940,12,424384,33,26,0.83,33,1.00
A85023,5138,6967,3,411,56843,6,233879,53,0.46,23,0.93,49,6967,3,237,44205,10,350006,53,37,0.73,53,1.00
A85024,2686,6494,3,1373,85124,1,93394,48,0.02,1,0.14,6,6494,3,310,50731,2,102638,48,30,0.59,47,0.98
A85026,4547,10055,4,507,62457,5,339751,33,0.45,14,0.90,28,10055,4,222,50513,9,475753,33,24,0.75,32,1.00
A85605,2291,18145,6,520,44711,2,381372,47,0.35,16,0.87,39,18145,6,300,27365,4,466076,47,28,0.59,44,0.96
A85609,1653,12637,4,500,81340,5,298178,36,0.48,17,0.86,31,12637,4,262,55919,8,375952,36,25,0.69,36,0.99
A85611,5313,13056,5,186,81650,8,697566,37,0.85,32,1.00,37,13056,5,162,62475,11,793497,37,34,0.90,37,1.00
A85614,4559,7901,3,324,58973,7,293553,47,0.61,24,0.96,45,7901,3,239,49593,10,371563,47,28,0.73,47,1.00
A85616,2485,14872,5,521,216395,2,616234,45,0.30,16,0.88,39,14872,5,292,69233,6,697727,45,31,0.61,44,0.97
A85617,3253,19138,6,429,65485,2,205322,37,0.59,20,0.90,33,19138,6,257,43382,3,246466,37,24,0.70,36,0.99
A85620,3607,18319,6,594,35143,2,316445,48,0.29,14,0.82,36,18319,6,311,24183,4,396213,48,28,0.57,45,0.95
A86003,30615,13406,5,312,120903,6,863649,50,0.54,23,0.99,50,13406,5,272,101326,8,924587,50,26,0.63,50,1.00
A86004,15488,6605,3,300,194694,8,1147991,37,0.53,22,1.00,37,6605,3,277,175976,10,1191493,37,24,0.59,37,1.00
A86005,5756,12978,5,687,99476,3,272892,40,0.23,8,0.67,23,12978,5,328,53996,5,314259,40,19,0.53,40,1.00
A86006,5090,22376,7,449,97141,4,742871,34,0.42,14,0.90,30,22376,7,296,64061,6,800876,34,20,0.58,33,1.00
A86007,3038,24693,8,300,153956,7,1264283,35,0.52,18,1.00,35,24693,8,252,105971,10,1360686,35,21,0.63,35,1.00
A86008,11866,16438,6,393,64521,4,321017,32,0.47,14,0.96,30,16438,6,306,55515,5,367918,32,17,0.57,32,0.99
A86009,6237,6389,3,257,59678,8,475856,45,0.67,34,0.99,44,6389,3,198,51414,10,558592,45,37,0.80,45,1.00
A86010,9599,19114,6,366,84397,5,441365,27,0.43,12,0.98,26,19114,6,221,52035,9,526902,27,21,0.74,27,1.00
A86011,11304,3940,2,268,86325,6,544864,36,0.60,24,1.00,36,3940,2,222,80365,9,638144,36,27,0.73,36,1.00
A86012,9140,7031,3,352,218452,7,920356,34,0.44,17,1.00,34,7031,3,325,206503,8,969959,34,19,0.50,34,1.00
A86013,7156,8633,3,327,49049,4,199788,35,0.51,17,0.99,35,8633,3,235,39511,8,352482,35,24,0.71,35,1.00
A86015,8902,25281,8,312,163805,6,1328557,33,0.50,16,0.99,33,25281,8,258,95928,10,1434564,33,21,0.64,33,1.00
A86016,8557,20503,7,502,92779,3,298249,35,0.32,11,0.89,30,20503,7,281,57845,5,368209,35,21,0.62,35,1.00
A86017,9704,4678,2,271,85025,7,665121,45,0.60,29,1.00,45,4678,2,247,80362,9,740292,45,31,0.66,45,1.00
A86018,12657,24520,8,388,89810,4,915662,33,0.43,14,0.97,32,24520,8,302,68786,7,986294,33,19,0.56,33,1.00
A86020,5065,25746,8,334,185779,6,1242601,32,0.49,16,0.98,31,25746,8,247,92418,10,1360384,32,22,0.70,32,1.00
A86021,9170,11141,4,313,69511,5,329242,40,0.54,23,0.99,39,11141,4,242,56952,8,427495,40,28,0.70,40,1.00
A86022,7992,17313,6,382,94111,4,184675,34,0.45,15,0.97,33,17313,6,261,52406,7,297595,34,23,0.69,33,0.98
A86023,8498,11353,4,307,71072,6,463851,37,0.57,23,0.99,37,11353,4,223,56453,9,548586,37,28,0.75,37,1.00
A86024,7255,9944,4,266,59794,8,457060,38,0.65,27,1.00,38,9944,4,199,48193,10,535202,38,32,0.81,38,1.00
A86025,12385,7450,3,312,96637,5,501690,39,0.52,20,0.99,38,7450,3,227,83566,8,657006,39,27,0.72,39,1.00
A86026,6550,11179,4,561,512836,2,575052,40,0.24,10,0.86,34,11179,4,319,128198,5,588397,40,24,0.58,38,0.94
A86027,13483,14741,5,296,197606,8,1523758,59,0.58,27,1.00,59,14741,5,269,173205,9,1560719,59,28,0.64,59,1.00
A86028,3770,18825,6,476,106177,4,709822,33,0.37,12,0.90,29,18825,6,332,78739,6,756516,33,16,0.50,33,0.99
A86029,11765,10335,4,281,60246,7,506718,43,0.63,29,0.99,43,10335,4,226,49211,9,570248,43,32,0.74,43,1.00
A86030,10251,7678,3,316,115436,5,715428,39,0.52,21,0.99,39,7678,3,272,103492,7,814738,39,25,0.62,39,1.00
A86031,8236,9141,3,358,184863,6,1138277,33,0.43,16,1.00,33,9141,3,311,172506,8,1218369,33,19,0.53,33,1.00
A86033,4468,27809,9,525,46169,2,186824,32,0.39,12,0.82,27,27809,9,294,32006,5,231547,32,19,0.59,32,0.99
A86035,2639,19384,6,564,71464,3,277559,32,0.30,9,0.84,27,19384,6,336,49366,5,312212,32,16,0.49,32,0.99
A86036,8613,22652,7,431,73307,4,594976,33,0.35,12,0.96,31,22652,7,320,46572,6,656995,33,17,0.50,33,1.00
A86037,6547,3730,2,262,85260,8,676210,44,0.63,30,1.00,44,3730,2,244,78615,10,722428,44,31,0.67,44,1.00
A86038,5372,9603,3,419,293518,3,408488,38,0.39,15,0.95,36,9603,3,250,86220,6,465123,38,26,0.69,38,0.99
A86040,6106,1844,1,239,74876,8,562947,37,0.69,27,1.00,37,1844,1,198,66519,11,662283,37,30,0.81,37,1.00
A86041,4962,19549,7,503,82777,3,278191,34,0.32,11,0.89,28,19549,7,275,52543,5,353087,34,21,0.65,34,1.00
A86601,8239,10696,4,320,80873,5,288006,35,0.50,17,1.00,35,10696,4,227,60134,8,401563,35,24,0.72,35,1.00
A87002,6978,12421,4,416,24306,4,106387,43,0.44,21,0.92,40,12421,4,259,33557,7,212508,43,28,0.65,43,1.00
A87003,11794,10809,4,316,281750,5,1107788,36,0.52,19,0.99,35,10809,4,262,228204,6,1203721,36,22,0.62,36,1.00
A87004,16959,13472,5,429,21485,4,105919,42,0.42,19,0.93,39,13472,5,260,31595,7,209794,42,28,0.65,42,1.00
A87005,12623,22467,7,583,33394,2,78294,38,0.23,9,0.81,31,22467,7,305,45426,5,215402,38,20,0.52,38,1.00
A87006,6031,24612,8,513,51799,2,99125,38,0.32,12,0.88,33,24612,8,287,65702,5,242038,38,22,0.59,38,0.99
A87007,11033,17922,6,364,228033,3,662604,36,0.49,17,0.96,34,17922,6,264,146688,5,725414,36,24,0.68,36,1.00
A87008,7311,24592,8,505,45361,2,93456,37,0.29,11,0.91,33,24592,8,273,66982,5,254283,37,23,0.62,37,0.99
A87009,14411,16894,6,367,200920,4,470679,42,0.51,23,0.95,40,16894,6,249,160657,7,566660,42,29,0.68,42,1.00
A87011,6596,25458,8,585,49022,2,76154,36,0.29,10,0.84,29,25458,8,337,62473,4,189773,36,18,0.52,35,0.97
A87012,7140,14819,5,1036,276937,1,291175,35,0.06,2,0.37,13,14819,5,324,34248,3,219163,35,17,0.51,35,0.99
A87013,10119,8489,3,417,298680,3,1007827,37,0.41,15,0.96,35,8489,3,284,212356,5,1131797,37,20,0.55,37,1
A87014,4291,14182,5,637,74460,2,211902,43,0.28,10,0.71,26,14182,5,338,56784,4,242801,43,20,0.50,42,0.98
A87015,5975,14509,5,441,22681,4,95809,42,0.39,18,0.92,39,14509,5,268,31650,7,205167,42,27,0.63,42,1.00
A87016,9611,11303,4,310,312360,5,1255195,36,0.54,20,0.99,36,11303,4,262,247344,6,1352462,36,23,0.62,36,1.00
A87017,5403,20386,7,1308,262342,1,264793,35,0.02,0.85,0.25,9,20386,7,320,42575,3,187950,35,18,0.51,35,1.00
A87019,5817,12423,4,399,28994,5,121793,43,0.47,22,0.93,40,12423,4,253,36951,7,225631,43,29,0.67,43,1.00
A87020,9116,25216,8,492,24079,2,47438,35,0.28,10,0.93,32,25216,8,272,49243,5,208016,35,21,0.61,35,1.00
A87022,5248,15081,5,517,87720,2,281118,41,0.37,13,0.84,31,15081,5,328,84158,4,319291,41,22,0.53,39,0.97
A87023,5715,15604,5,470,103004,3,305966,40,0.38,14,0.88,32,15604,5,293,102613,4,356336,40,22,0.56,40,1.00
A87027,6855,10980,4,394,211303,3,761043,36,0.50,18,0.93,34,10980,4,260,142207,5,874138,36,23,0.64,36,1.00
A87029,4876,9290,3,312,269770,5,1045180,39,0.53,20,0.99,39,9290,3,264,210811,6,1135342,39,23,0.61,39,1.00
A87030,5079,5937,2,364,24714,5,117159,39,0.54,21,0.94,37,5937,2,245,27830,7,218184,39,27,0.69,39,1.00
A87600,4417,21979,7,508,34495,2,92739,38,0.31,12,0.88,33,21979,7,274,50468,6,251153,38,23,0.61,38,1.00
A87612,5377,17389,6,414,109580,3,318889,38,0.59,20,0.84,30,17389,6,248,74399,5,389177,38,26,0.73,38,1.00
A87615,4770,17683,6,293,116886,4,361170,36,0.73,26,0.93,33,17683,6,204,81582,5,440805,36,29,0.83,36,1.00
A88001,2912,9452,3,228,111071,7,663975,39,0.74,29,0.99,39,9452,3,209,106269,8,712960,39,30,0.77,39,1.00
A88002,12473,8147,3,430,159268,4,463471,34,0.41,15,0.90,31,8147,3,386,115603,5,486348,34,17,0.47,32,0.94
A88003,11749,11808,4,504,125234,3,332609,32,0.33,11,0.86,27,11808,4,450,95902,4,345332,32,13,0.38,29,0.91
A88004,9179,8229,3,242,122923,7,627011,37,0.74,27,0.98,36,8229,3,217,110983,8,671643,37,28,0.76,36,0.99
A88005,4622,6931,3,473,142012,4,398761,37,0.39,15,0.86,32,6931,3,429,98897,5,406035,37,17,0.43,34,0.90
A88006,8426,7274,3,455,186343,3,514007,32,0.38,13,0.88,28,7274,3,408,129963,4,529254,32,15,0.43,30,0.93
A88007,9026,10079,4,386,124194,5,373419,35,0.48,18,0.93,33,10079,4,340,93684,6,391902,35,20,0.56,34,0.96
A88008,6142,8720,3,409,139875,4,400300,37,0.47,19,0.91,34,8720,3,358,101857,6,416575,37,21,0.53,36,0.95
A88009,6450,18391,6,547,56162,2,108626,38,0.30,10,0.81,29,18391,6,323,46574,4,186695,38,18,0.49,37,0.99
A88010,3036,8337,3,262,122924,7,617254,37,0.71,26,0.98,36,8337,3,229,108348,8,663033,37,27,0.74,36,0.99
A88011,2832,9404,3,402,131136,5,375666,36,0.47,18,0.92,34,9404,3,351,97678,6,395510,36,21,0.54,35,0.96
A88012,5801,8802,3,200,101101,8,715393,39,0.80,31,1.00,39,8802,3,189,101469,9,773115,39,31,0.81,39,1.00
A88013,13698,10368,4,423,170946,4,443780,36,0.44,17,0.90,32,10368,4,363,126589,5,463047,36,19,0.51,34,0.95
A88014,2720,7474,3,361,119934,5,369183,36,0.55,20,0.93,33,7474,3,326,91388,7,393601,36,22,0.60,34,0.96
A88015,3680,7235,3,370,112132,5,382603,39,0.52,22,0.93,37,7235,3,336,86291,6,401252,39,23,0.57,37,0.96
A88016,7774,19074,6,550,60259,2,108714,38,0.30,11,0.81,30,19074,6,328,46336,4,179768,38,18,0.49,38,0.99
